iter	RMSE
0	3.1599076
1	3.143738527
2	3.128043577
3	3.112860834
4	3.097625385
5	3.082252157
6	3.06727834
7	3.052283062
8	3.037816408
9	3.023675192
10	3.009485337
11	2.995242854
12	2.981504137
13	2.967434313
14	2.953773174
15	2.940340104
16	2.927091783
17	2.914069093
18	2.902161372
19	2.889219289
20	2.877160273
21	2.865411153
22	2.853740193
23	2.841697214
24	2.829848111
25	2.818512238
26	2.806968851
27	2.795536675
28	2.784783444
29	2.77343903
30	2.762718056
31	2.75206032
32	2.741285877
33	2.730375836
34	2.720298386
35	2.710494669
36	2.700251966
37	2.69039439
38	2.680859904
39	2.671134845
40	2.661402708
41	2.651980194
42	2.642914861
43	2.633701834
44	2.624698763
45	2.615958504
46	2.607249716
47	2.598352179
48	2.590253052
49	2.581604539
50	2.573323619
51	2.565035433
52	2.557021991
53	2.549030226
54	2.541761607
55	2.533931909
56	2.52667141
57	2.519314175
58	2.51172102
59	2.504647362
60	2.49760708
61	2.490640566
62	2.483546486
63	2.476523249
64	2.469494076
65	2.462837345
66	2.456239577
67	2.449693753
68	2.443381291
69	2.436940131
70	2.430692682
71	2.424359848
72	2.418246555
73	2.412196177
74	2.406376697
75	2.400492571
76	2.394749373
77	2.389289745
78	2.384064603
79	2.378741876
80	2.373401566
81	2.367879373
82	2.362234326
83	2.356995955
84	2.35186978
85	2.346697853
86	2.341599017
87	2.336492863
88	2.331745969
89	2.326928119
90	2.322302021
91	2.317578884
92	2.312930619
93	2.308488128
94	2.303886166
95	2.299438749
96	2.294982815
97	2.290693334
98	2.286077664
99	2.281821632
100	2.277690757
101	2.273303681
102	2.269258067
103	2.265017717
104	2.260933844
105	2.256929431
106	2.252747291
107	2.248945095
108	2.245264247
109	2.241477619
110	2.237609933
111	2.233920825
112	2.230081558
113	2.226519106
114	2.223073633
115	2.219548802
116	2.216309489
117	2.212939
118	2.209580045
119	2.20632982
120	2.203197755
121	2.199837702
122	2.196527608
123	2.193697188
124	2.190647787
125	2.187765239
126	2.184773587
127	2.181725148
128	2.178615683
129	2.175645787
130	2.172831981
131	2.169882162
132	2.167158059
133	2.164482874
134	2.161805003
135	2.159149531
136	2.156610784
137	2.15397809
138	2.151567819
139	2.149073773
140	2.146559955
141	2.144315356
142	2.141797038
143	2.139394506
144	2.136970584
145	2.134529319
146	2.132164847
147	2.129667691
148	2.127442619
149	2.125251996
150	2.122963999
151	2.120822846
152	2.118908614
153	2.116804962
154	2.114772056
155	2.112423873
156	2.110264877
157	2.108402278
158	2.106471533
159	2.104417208
160	2.102683291
161	2.100625292
162	2.098632408
163	2.096726362
164	2.094876047
165	2.093001146
166	2.091199994
167	2.089453293
168	2.087603193
169	2.085984919
170	2.084094626
171	2.082442581
172	2.080884297
173	2.079126072
174	2.077381052
175	2.0757146
176	2.074239017
177	2.072759522
178	2.071131374
179	2.069496875
180	2.067903703
181	2.066333261
182	2.064746205
183	2.063253524
184	2.06189519
185	2.060369144
186	2.058838816
187	2.057360674
188	2.056085999
189	2.054730778
190	2.053462971
191	2.052074382
192	2.050809687
193	2.049667321
194	2.048403311
195	2.046988069
196	2.045897399
197	2.044655094
198	2.043423492
199	2.042317277
200	2.041176664
201	2.040018142
202	2.038817633
203	2.037660407
204	2.036545743
205	2.035368035
206	2.034301757
207	2.033154955
208	2.032186328
209	2.031161331
210	2.029997142
211	2.028941102
212	2.02781577
213	2.026836406
214	2.025878905
215	2.024880755
216	2.023718142
217	2.022621961
218	2.021673553
219	2.0206422
220	2.019748613
221	2.018796455
222	2.017853284
223	2.017011697
224	2.016129325
225	2.015167858
226	2.014370828
227	2.013413125
228	2.012570803
229	2.011632577
230	2.01075949
231	2.009882842
232	2.009102341
233	2.008217336
234	2.007265459
235	2.006351025
236	2.005515858
237	2.004726031
238	2.003888513
239	2.003034521
240	2.002316999
241	2.001542026
242	2.000728561
243	1.999886509
244	1.999117149
245	1.998363103
246	1.997486846
247	1.996731847
248	1.99601581
249	1.995290911
250	1.994508219
251	1.993755828
252	1.993088903
253	1.992292312
254	1.991593467
255	1.990802218
256	1.990108747
257	1.989536137
258	1.988857159
259	1.98824166
260	1.987576755
261	1.987012935
262	1.986359674
263	1.985799462
264	1.9851999
265	1.984553101
266	1.983982319
267	1.983359159
268	1.982709047
269	1.982085886
270	1.981426177
271	1.980801878
272	1.980191494
273	1.979650056
274	1.979089998
275	1.978510037
276	1.977819948
277	1.977262869
278	1.976635538
279	1.976062905
280	1.97550419
281	1.974911177
282	1.974332748
283	1.973795182
284	1.973262577
285	1.972838715
286	1.972315093
287	1.971756155
288	1.97121374
289	1.970654832
290	1.970150913
291	1.969602589
292	1.969184874
293	1.968577879
294	1.968106215
295	1.967568777
296	1.96710482
297	1.966573147
298	1.966184905
299	1.965692177
