iter	Passed	Remaining
0	5	1540
1	8	1289
2	11	1171
3	14	1108
4	18	1062
5	21	1037
6	24	1016
7	27	999
8	30	984
9	33	971
10	36	965
11	39	956
12	42	944
13	45	937
14	48	930
15	52	930
16	55	923
17	58	916
18	61	912
19	64	905
20	68	903
21	71	897
22	74	891
23	77	886
24	80	880
25	83	874
26	86	870
27	89	865
28	92	862
29	95	860
30	98	858
31	102	856
32	105	854
33	108	851
34	112	849
35	115	846
36	118	844
37	121	840
38	125	840
39	128	837
40	132	834
41	135	831
42	138	827
43	141	823
44	144	820
45	147	817
46	151	813
47	154	809
48	157	809
49	161	806
50	164	803
51	167	799
52	171	797
53	174	793
54	177	790
55	180	788
56	184	785
57	189	790
58	192	788
59	196	785
60	199	782
61	204	783
62	207	780
63	210	776
64	213	772
65	217	769
66	220	767
67	223	764
68	227	760
69	230	756
70	233	753
71	236	750
72	240	747
73	243	744
74	247	742
75	250	739
76	254	737
77	258	734
78	261	731
79	264	728
80	268	724
81	271	721
82	274	718
83	277	714
84	281	711
85	284	708
86	287	704
87	291	701
88	294	697
89	297	694
90	301	691
91	304	688
92	307	684
93	310	681
94	314	678
95	317	675
96	320	671
97	324	668
98	327	665
99	330	661
100	334	658
101	337	655
102	340	651
103	343	647
104	346	644
105	350	641
106	353	637
107	356	634
108	360	631
109	363	628
110	367	624
111	370	621
112	373	618
113	376	614
114	380	611
115	383	609
116	387	606
117	391	603
118	394	600
119	397	596
120	401	593
121	404	590
122	408	587
123	411	584
124	414	580
125	417	577
126	421	573
127	424	570
128	427	567
129	431	563
130	434	560
131	437	557
132	440	553
133	444	550
134	448	547
135	451	544
136	455	541
137	458	538
138	461	534
139	465	531
140	468	528
141	471	524
142	475	521
143	478	518
144	482	515
145	485	512
146	488	508
147	491	505
148	494	501
149	498	498
150	501	494
151	504	491
152	507	487
153	510	484
154	514	480
155	517	477
156	520	473
157	523	470
158	526	466
159	529	463
160	532	459
161	535	456
162	539	453
163	542	449
164	545	446
165	548	442
166	551	439
167	554	435
168	557	432
169	560	428
170	563	425
171	567	421
172	570	418
173	573	415
174	577	412
175	580	408
176	583	405
177	587	402
178	590	399
179	593	395
180	596	392
181	599	389
182	603	385
183	606	382
184	610	379
185	613	375
186	616	372
187	620	369
188	623	366
189	626	362
190	630	359
191	633	356
192	636	352
193	640	349
194	643	346
195	646	342
196	649	339
197	652	336
198	655	332
199	658	329
200	661	325
201	665	322
202	668	319
203	672	316
204	675	312
205	678	309
206	681	306
207	685	303
208	688	299
209	691	296
210	695	293
211	698	289
212	702	286
213	705	283
214	709	280
215	712	277
216	715	273
217	718	270
218	722	267
219	725	263
220	728	260
221	731	257
222	734	253
223	738	250
224	741	247
225	744	243
226	747	240
227	750	237
228	753	233
229	756	230
230	759	227
231	763	223
232	766	220
233	769	217
234	772	213
235	775	210
236	779	207
237	782	203
238	786	200
239	789	197
240	792	194
241	796	190
242	800	187
243	803	184
244	806	181
245	810	177
246	813	174
247	816	171
248	820	167
249	823	164
250	827	161
251	830	158
252	834	154
253	837	151
254	840	148
255	844	145
256	847	141
257	850	138
258	853	135
259	857	131
260	860	128
261	864	125
262	867	122
263	870	118
264	874	115
265	877	112
266	880	108
267	883	105
268	886	102
269	890	98
270	893	95
271	896	92
272	900	89
273	903	85
274	906	82
275	909	79
276	913	75
277	916	72
278	919	69
279	923	65
280	926	62
281	930	59
282	933	56
283	936	52
284	939	49
285	942	46
286	946	42
287	949	39
288	952	36
289	955	32
290	958	29
291	962	26
292	965	23
293	969	19
294	973	16
295	976	13
296	979	9
297	982	6
298	985	3
299	989	0
